"Date",	"Rm_minus_Rf","SMB","HML","WML","IML","Risk_Free"
09/01/2014	,-0.0235231191144919,-0.000154334717274898,-0.00477195956453779,0.00171141029066492,0.00440871077196707,0.000380090557325241
10/01/2014	,0.00672931695735284,-0.00559843099055625,0.000389408478565861,-0.000471272036780053,-0.00736425698038311,0.000381172580975475
13/01/2014	,-0.00686485188047889,0.00990511802694278,0.00872290095672637,-0.00759216487947204,0.00487670471083454,0.000383335747417002
14/01/2014	,0.00629507435095125,-0.00541309709146446,-0.00141782462932267,0.0053583483331076,-0.00664121554044681,0.00038405654207585
15/01/2014	,0.00549230885459537,0.00136992949347604,0.00669672859631378,-0.00576346201027798,0.00158849502864346,0.000383696161040836
16/01/2014	,-0.00865105925517564,-0.0015623011439139,-0.00175554042301924,-0.00385395905193547,-0.000309825568762637,0.000389098458029258
17/01/2014	,-0.010530223229258,0.00971440506549993,0.00555653404280495,-0.0047628333471981,0.00900937452198284,0.000388738532620225
20/01/2014	,-0.00784038622476331,0.0100502829776308,0.00168657714146764,-0.00845878448672296,0.00670167145906474,0.000389818211351312
21/01/2014	,-0.00051966483904092,-0.0029998007397903,-0.00912052318575267,0.00529351644326327,-0.00421394772004439,0.000390178039276323
22/01/2014	,0.0125595358872079,0.00279695701926042,0.00601572822845919,-0.00785995388714723,-0.00262718797497037,0.000390178039276323
23/01/2014	,-0.0213097287025636,0.0132434727623134,0.0033592016487227,-0.0048563411284435,0.00880307585102973,0.000389818211351312
24/01/2014	,-0.0112999892035545,-0.0114908626094431,0.00465255061411195,0.00599034993614531,-0.00577955968207948,0.000389818211351312
27/01/2014	,-0.00417935233477979,0.00548735612162003,-0.00107412430681163,0.00293275805382848,0.00401454443798159,0.000390178039276323
28/01/2014	,0.0021574833059935,0.00264005187812765,0.00283661540478995,-0.00174293127947385,0.0032648286727401,0.00039053783471843
29/01/2014	,-0.00720657913713377,-0.00999048141705489,-0.00436579439834137,0.00842335727606586,-0.00683525964778506,0.000391257328177463
30/01/2014	,-0.0064857497292066,-0.00205957095718053,-0.00134399196196993,-0.00793792058638831,-0.00175740466380548,0.000391257328177463
31/01/2014	,0.00787679885385158,-0.00415863749368914,0.00416400895283543,0.00749780095437306,-0.00380743993285069,0.000391617026206159
03/02/2014	,-0.0308276786617064,-0.00587184233462636,-0.0153715992960527,0.0100821100391017,-0.00167764578846924,0.000391617026206159
04/02/2014	,0.0148594777281027,-0.00862243742373772,0.00306199656733715,0.0034296792200375,-0.0123881245271219,0.000392336324890996
05/02/2014	,-0.00780864908480015,0.00967515907344819,-0.00362884953798197,-0.00591562069897051,0.00397471313207515,0.00039305549378521
06/02/2014	,0.024024720787365,-0.0108777566088804,0.00479110786159562,0.0108956194863026,-0.0118913947054231,0.000393774532935875
07/02/2014	,0.00685648460129019,-0.00248500913067486,3.43108942692221e-05,-0.0027514516353945,-0.00584706801403396,0.00039305549378521
10/02/2014	,-0.00734153444389648,0.00426090724835713,-0.00470328042714922,-0.00510014530702366,0.00451896796374297,0.000394493442389399
11/02/2014	,0.0145680588275036,-0.00541649795861014,0.0126899106445639,-0.00261913115101823,-0.00489228208547048,0.000395212222193075
12/02/2014	,-0.00678866185299121,-0.00549794325379609,-0.00683669892379117,0.00460172040048251,-0.000740278543627608,0.000395930872393535
13/02/2014	,-0.00694818437448572,0.00120083372221635,-0.00427926734286317,0.00162889655876461,0.00180943731462195,0.000396649393037629
14/02/2014	,0.00744791707562613,-0.000794196984893432,0.00166551065543856,-0.0064369205350101,-0.00102940384832645,0.000396290148907186
17/02/2014	,-0.0116375061840263,0.0107158872927632,-0.000412595052033041,-0.00933193910292661,0.00866783735255891,0.000396649393037629
18/02/2014	,-0.0186869497116588,-0.0108854392271905,-0.0276465520638135,0.00366423643050302,-0.000754355226256821,0.000396649393037629
19/02/2014	,0.00945909638663326,-0.00947849737159797,0.00847578777878524,0.00347928701289004,-0.0144635191780364,0.000397367784172209
20/02/2014	,0.00296076966311302,7.32927657090638e-05,0.00787322619945984,0.00119312109944853,0.00277389628970916,0.000397726931188114
21/02/2014	,0.00109691085685612,0.0136804881222548,-0.00500097242332366,-0.00444713563128523,0.00704059347843886,0.000398086045844126
24/02/2014	,0.000128169127280862,0.0112747254845002,-0.00250513706754896,-0.00685009361088624,0.00872309110467798,0.00039880417810001
25/02/2014	,-0.0113036143469738,0.00132491454478975,-0.0129068766696234,-4.51098588297814e-05,0.00106008012426657,0.000399522180986711
26/02/2014	,-0.000987059231830004,-0.00841650579835848,-0.013206581874176,0.0030599747080215,-0.00847553116142816,0.000399881133930968
27/02/2014	,0.0172295250043274,0.00068807949311506,0.0135814528227746,-0.00933944182473756,-0.00413887637387523,0.00039880417810001
28/02/2014	,-0.00893410087760519,0.00518923923405928,-0.00691250871283571,0.00562692707403699,0.00828691969239465,0.00039880417810001
05/03/2014	,-0.00810003817875695,-0.00537887276080583,-0.0153212169218786,0.00756510874303938,0.00245947380453353,0.000399881133930968
06/03/2014	,0.00964647385179733,-0.0106411007365036,-0.00191210480199043,0.00107750269784138,-0.00880636493462345,0.000399881133930968
07/03/2014	,-0.0152822558861912,-0.000637640074226951,-0.0129372844899353,0.00129468860535398,-0.000547160939224078,0.000399881133930968
10/03/2014	,-0.0145270329935744,-0.000503753411005711,-0.0123752181246623,-0.000589102030038823,-0.00382847533957959,0.000400598942851271
11/03/2014	,0.0047437452898065,-0.00981207868075261,-0.0103222930333755,0.0054900627250688,-0.0105394371693715,0.000400957798838641
12/03/2014	,0.00169014870164397,-0.00937518330144596,0.00319877866883572,0.00563858087103847,-0.00643962149266319,0.000401316622518966
13/03/2014	,-0.0086637596382129,-0.00239511112527139,0.00308713907011996,0.00977695399921794,0.00110115025539301,0.000401675413897573
14/03/2014	,-0.0113926076002434,-0.00304812324364042,0.000866887458466567,0.00547038246262511,-0.00459169036633129,0.000401675413897573
17/03/2014	,0.00541006909583034,-0.00994256065135625,-0.0160070395152438,0.00125548190683683,-0.0057939142399753,0.000402751594282824
18/03/2014	,0.0201814487272414,-0.00122547296995225,0.00987751232528907,-0.00345068680576481,-0.00175374318947098,0.00040311025651385
19/03/2014	,0.00663743128203629,0.00152714302481366,0.0144464375404305,0.00170623698244093,0.000761065338950708,0.000403827484164232
20/03/2014	,0.0130627389784872,0.000994299491471973,0.00259028026808405,0.00098065564688847,-0.00105547165899631,0.000403827484164232
21/03/2014	,0.00155171046278079,0.000236019813686104,-0.000833302214241607,0.00195968367196734,0.00292070402219215,0.000403827484164232
24/03/2014	,0.0103335537162916,-0.00926949242760983,-0.00244896153296544,0.00640718903828145,-0.0107766781271417,0.00040454458277206
25/03/2014	,0.00226775956271636,-0.00181017371581887,0.00448131938094033,0.00727264451921338,-0.0032751896558588,0.000405978393044348
26/03/2014	,-0.00237222964637515,-0.0135791288324277,-0.0107818289246791,0.0108309772085185,-0.00868945610208187,0.000404903083699226
27/03/2014	,0.0298490467510396,-0.00406214152756801,0.00772840312716026,-0.00134768378792105,-0.00759964337986133,0.000405619988829597
28/03/2014	,0.00062657452565174,0.00764662166258785,0.00292379829789364,-0.00881564622982614,0.00242043262847917,0.000405619988829597
31/03/2014	,0.0106071384455011,-0.00294732459490525,0.00747332331156602,-0.00391536550610669,-0.0106423791803715,0.000405619988829597
01/04/2014	,-0.000862244090675614,0.00400527339629397,-0.00127769570218438,0.00332168982445977,0.00607693928486213,0.000405978393044348
02/04/2014	,0.0237558508069473,-0.00725412776577056,0.00905835929882066,0.0030264106387115,-0.00908943011493987,0.000406336765033322
03/04/2014	,-0.00496556614951751,0.00570647272340077,-0.00170456052324151,0.000909175107839162,0.0119873099459845,0.000407411687703085
04/04/2014	,-0.0072188253564502,0.00221494385155917,0.00795865871887511,-0.00462014167339134,-0.00146005224292182,0.000407411687703085
07/04/2014	,0.0157391686666807,-0.0125844628082017,0.0134307357127618,-0.00424095757397224,-0.0161213284361393,0.000407411687703085
08/04/2014	,-0.0100508143507716,0.0191964058764642,-0.011440631358861,-0.0045461302250745,0.00993441553999195,0.000407411687703085
09/04/2014	,-0.00671839325436035,0.000792019843268415,-0.0117490330284878,-0.00648630913762205,0.00283981185579003,0.000407411687703085
10/04/2014	,0.00132251074816915,-0.00959314191641959,-0.0154165754854278,0.00239283821972435,-0.000276508573231062,0.000407411687703085
11/04/2014	,0.0148006430194387,-0.0109011884183868,-0.00369093238671953,0.00461474564169775,-0.00930928105257433,0.000407411687703085
14/04/2014	,-0.00486293698324044,0.00207627447211475,-0.00112758956543938,0.00410608120477346,0.00423018482447325,0.000407411687703085
15/04/2014	,-0.0175469421966981,-0.00308008941377215,-0.0155377712244992,0.0105560137288911,0.00231103428659395,0.000407411687703085
16/04/2014	,0.014175770345175,-0.00345696595947247,0.0028208399012987,0.000545674413988371,-0.00362382744537583,0.000407411687703085
17/04/2014	,0.0143597617365495,-0.0105013638402615,0.00818431056676789,0.00833125615089146,-0.00835338812084559,0.000407769930846458
22/04/2014	,0.000422787281978804,-0.00288455007351496,0.00278256492345539,-0.00110956899414048,-0.00109852189456492,0.000407769930846458
23/04/2014	,-0.00833816357514354,-0.00333958309884679,0.00329909741212043,0.00387686468244757,-0.00284146476958661,0.000407411687703085
24/04/2014	,0.00149693040253719,-0.00176502437798362,0.000476033247319604,-0.00676635619369004,-0.00468906975445867,0.000407769930846458
25/04/2014	,-0.00685571911467882,-0.0110921776548734,-0.00668097823089071,0.0090878308238052,-0.00418572796745806,0.000407411687703085
28/04/2014	,0.000379168648101244,-0.00364039166928268,-0.0086804157364495,0.00241913822311406,0.00264065381673504,0.000407769930846458
29/04/2014	,0.00320446755424512,-0.00395918209963151,-0.00511145937854874,0.00482821868475278,-0.0103508365264364,0.000407769930846458
30/04/2014	,-0.00771909850559429,0.00724586171052631,-0.00809149101332914,-0.002267371612394,0.00367277985529635,0.000407411687703085
02/05/2014	,0.0180052342935286,-0.00679308607822931,0.0214985063971979,-0.00157967257598718,-0.0144015836141767,0.000407769930846458
05/05/2014	,0.00888709694486043,0.000655201082386174,0.000106158067314886,-0.0020271992823972,0.00311959446229884,0.000407769930846458
06/05/2014	,0.00586845258147486,-0.00572943421122741,-0.00895313824105274,0.00137293568070689,-0.00361125049361338,0.000407769930846458
07/05/2014	,0.00232189829354539,0.00969497638881549,0.00336997267124085,-0.00935439333594525,0.00955032688094221,0.00040812814179314
08/05/2014	,-0.0104340012726538,0.00376043205885354,-0.00808807433125567,0.00766432558908124,0.00331785029365037,0.000408486320548684
09/05/2014	,-0.00569173309510122,0.00601525064014406,-0.00145116024647496,0.000248441269209454,-0.000715011157601544,0.00040812814179314
12/05/2014	,0.0154916233855116,-0.0115871773541,-0.00362494549764365,0.00185468710967219,-0.00878773970883072,0.000408486320548684
13/05/2014	,-0.00316706059818061,-0.00456687135259358,-0.00383790384681431,0.00808881923843366,-0.000767971570193311,0.000408486320548684
14/05/2014	,0.00753382262705786,-0.00549556861061537,0.0038283492328435,0.0042263484910398,-0.00474156458467065,0.000408486320548684
15/05/2014	,-0.0108655464781369,0.00560350105748929,0.000301092417248685,0.00391255286396243,0.00523378355839169,0.000408844467119085
16/05/2014	,0.00306066457740709,-0.00767601558458654,-0.00292249672203459,0.00200275333188975,-0.00361194151216371,0.000408844467119085
19/05/2014	,-0.0103417609475018,0.0168804526845749,-0.00143173108345227,-0.0126584263257636,0.0164977721084163,0.000408486320548684
20/05/2014	,-0.0173134637995729,0.00940316544907617,-0.00645195714282349,-0.0036633276274979,0.0113350791550745,0.00040812814179314
21/05/2014	,-0.00313328061747201,-0.00396987737617696,-0.00702370128278875,0.00223932458818411,-0.00351024332860468,0.00040812814179314
22/05/2014	,0.0112768908863223,-0.00615392157753344,0.00715929562902891,0.00541649381682166,-0.0053860726543433,0.000407769930846458
23/05/2014	,-0.0040708275254489,0.00319915084425331,-0.000158716327189151,-0.000129687271874394,0.000945544083028959,0.00040812814179314
26/05/2014	,0.00515967670697303,-0.0087335349907348,0.00231569572726447,0.00487203129839617,-0.00757217839557621,0.00040812814179314
27/05/2014	,-0.0151277020362166,0.0107443328220616,0.00293435743544462,0.00185261775028846,0.005326290789755,0.000408844467119085
28/05/2014	,0.00848067875546188,-0.000667926358595747,0.00527428423593951,-0.00249798973754698,-0.000553955574736755,0.000408486320548684
29/05/2014	,-0.00576264370776702,0.00765028154641716,-0.00777687330237064,-0.00654070409982942,0.00377044519007641,0.000407411687703085
30/05/2014	,-0.0181977473578095,0.00439030705640191,-0.0064927542835768,0.006059953330671,0.0028431668088044,0.000407411687703085
02/06/2014	,0.00719455145531735,-0.0165558700790478,0.00217249574281734,0.015154439320146,-0.013529083882415,0.000407769930846458
03/06/2014	,0.00770218372056339,-0.00568498176370755,0.00129447278640493,0.00473124726180268,-0.00625714253908507,0.000407411687703085
04/06/2014	,-0.00378997913815343,0.000633203804803164,-0.00515416858791798,0.00360194476258107,-5.08244976259075e-05,0.000407411687703085
05/06/2014	,-0.00457413224351772,0.00460997740273125,-0.000463714871497151,-0.000744446747980846,0.00260352175719831,0.000407411687703085
06/06/2014	,0.0266300467157294,-0.00400267673522392,-0.0013699788947799,-0.00534371373923177,-0.00697431394822006,0.000407411687703085
09/06/2014	,0.0201952155039561,-0.00660852674979364,0.00846316544514683,0.00407350727283168,-0.00660836442020649,0.000407411687703085
10/06/2014	,0.00576505609817994,-0.00252593331507592,-0.00177617537613115,-0.000363992688303116,-0.000873366228316763,0.000407769930846458
11/06/2014	,0.00623345107322274,-0.00225220876588076,-0.00240892083649643,0.00376127242337482,-0.0040267390756067,0.000407411687703085
13/06/2014	,-0.00508441484003771,0.00264844172836862,0.000202883520612079,-0.00170135245794487,0.00109863392712088,0.000407411687703085
16/06/2014	,-0.00466009076123495,0.00887792727312149,-0.00385123626319984,-0.00254714040939917,0.00527192242334549,0.000407411687703085
17/06/2014	,-0.00615971201329572,0.002054816307625,-0.00168196879778958,-0.00282711846450834,0.00217486094687802,0.000407769930846458
18/06/2014	,0.015722001443731,-0.0073283409491138,0.00945224784779808,0.00193269193417426,-0.00322010872043688,0.000407411687703085
20/06/2014	,-0.00945124955927402,0.00741354893062361,-0.00652132877887355,-0.00433122322151368,0.00214015176606393,0.000407411687703085
23/06/2014	,-0.00979635037606757,0.00700493401584834,0.00680910946180303,-0.00242639705685264,0.00339424121865173,0.000407411687703085
24/06/2014	,0.000837949654442072,-0.00386080320613364,-0.0139551297824777,0.00458064179470323,-0.00136440894844056,0.000407411687703085
25/06/2014	,-0.0137051191143016,0.00486089212247849,-3.50382608429126e-05,-0.000931508878657753,0.00240117278070092,0.000407411687703085
26/06/2014	,0.00205128606556451,0.00352440824467045,0.000148475024699961,-0.000145044111049497,0.00145083944020992,0.000407769930846458
27/06/2014	,-0.00698021855771467,0.00655928743489925,-0.00444051170965044,-0.00644986211493165,0.00586749990594934,0.000407053412356806
30/06/2014	,0.000688864204438007,0.00545209411893719,0.000384491139343559,0.0022014005713324,0.00761050238877094,0.000407411687703085
01/07/2014	,-1.63930304945565e-05,0.00135737876220425,0.00169512426942952,0.00304686468979833,-2.95665410782529e-05,0.000407769930846458
02/07/2014	,-0.00466932425418165,-0.012062275212797,0.00693728549278018,0.00570187069217326,-0.0108810414780563,0.000407053412356806
03/07/2014	,0.0138091306441648,-0.0156861711734639,0.0018596968797871,0.011325870470972,-0.0157333572760608,0.000407411687703085
04/07/2014	,0.00293959126669614,-0.00190487498989947,-0.00179341367071172,0.000935952122502615,7.04183480692904e-05,0.000407411687703085
07/07/2014	,-0.00534842391598032,-0.0040731516771108,0.00590492463518734,0.00957656646099003,-0.00651754121435508,0.000407411687703085
08/07/2014	,-0.00295871919213727,-0.00206692821350815,0.000968492089132881,0.00417863720603116,0.000287034420418286,0.000407411687703085
10/07/2014	,0.0114590033799041,-0.0169638276019074,-0.00346032321324208,0.0250947296464137,-0.0143387274402965,0.000407411687703085
11/07/2014	,0.00347949972050568,0.00501607354955623,0.0038821040990903,-0.00379872678651047,0.00539475991009707,0.000407411687703085
14/07/2014	,0.0140915431980279,-0.011868415301333,0.000948639625054585,0.00399455509761918,-0.0125297159704492,0.00040669510480229
15/07/2014	,0.0030531482555164,-0.000917928269363686,0.00834752311401031,0.00421102535095604,-0.00422039925890706,0.000407053412356806
16/07/2014	,-0.00414096039448373,-0.00286438268665956,0.00877386739655474,0.00137742176641507,-0.00368342457834372,0.000407053412356806
17/07/2014	,-0.00102263247966187,0.00283081692683143,2.02197229625016e-05,-0.00593803390273016,0.00334557997927823,0.000407053412356806
18/07/2014	,0.0216709597458532,-0.00895840800258708,0.00367509057053129,0.00968248279949045,-0.010285849986864,0.000407053412356806
21/07/2014	,0.0108604253700547,-0.0107261069924651,-0.00837411137136107,0.0152229748943739,-0.00834748615955665,0.000407769930846458
22/07/2014	,0.00459655127976323,0.00287226083932476,-0.00797375389986592,-1.94005074748461e-05,-0.00547501668882064,0.000407053412356806
23/07/2014	,-0.00845939723050457,0.0114887781589105,0.000127358566454186,-0.00763434273939553,0.0150396849259127,0.000407411687703085
24/07/2014	,0.00803935062317885,0.00419620267574805,0.0101833046030229,0.00115923163124763,0.00166567552610196,0.000407769930846458
25/07/2014	,-0.00395027664799438,-0.00271686606969387,-0.00879185463333062,0.000424192769253134,0.000764466003800286,0.000407411687703085
28/07/2014	,-0.00357202065140727,-0.0117050372433243,-0.00515155732948919,0.0103553086363644,-0.0104096685289672,0.000407411687703085
29/07/2014	,-0.00910867646049068,-0.00194068700268812,-0.0104009933663895,0.00475288239227108,0.00209880502531106,0.000407411687703085
30/07/2014	,-0.00518055453994897,0.00476151181288271,0.00777856557774043,-0.0103456021381065,0.00208318830981521,0.000407411687703085
31/07/2014	,-0.020042832281546,0.00473666124317835,0.00784129320440354,-0.00219584314457946,0.00874357436787125,0.000407411687703085
01/08/2014	,0.000734023416606245,-0.000767766872518981,-0.00114793212990378,0.00503907316847036,0.000141403627919553,0.00040812814179314
04/08/2014	,0.0104548847353806,0.00179349451873706,-0.00600436355455782,-0.00286439307050732,0.00297439434277582,0.000407411687703085
05/08/2014	,-0.00833660140269398,0.0018393582803045,-0.00493621262404821,-0.00157196299883721,0.00364571403589384,0.000407411687703085
06/08/2014	,0.00315278942777304,-0.00895722658492835,0.000537531970184169,0.00262559142746913,-0.0058916120707959,0.000407769930846458
07/08/2014	,-0.0048484059675269,0.00190385137852082,0.000705455674292857,0.000176429375268109,-3.66045625364761e-05,0.000407769930846458
08/08/2014	,-0.00973552502118246,0.00594407219777416,-0.000279043639811547,-0.00838509494298021,0.00845324443496037,0.000407769930846458
11/08/2014	,0.0174800136839675,-0.0113869432312952,-0.00316156482756675,0.0121444367527325,-0.00806988652410248,0.000407411687703085
12/08/2014	,-0.00268195340621375,0.00239876650960342,-0.00862919966698639,-0.0014401446605342,0.0053147462487166,0.000407769930846458
13/08/2014	,-0.0129080507820202,0.00299617892438995,-0.00663839462538156,-0.000105981221470917,0.00935380563926997,0.000407769930846458
14/08/2014	,0.00263141604926721,-0.00818003779636948,-0.0129758499688472,-0.00240345259046195,-0.0073181267136496,0.000407769930846458
15/08/2014	,0.0192270595798014,-0.0130340722317442,-0.00149347408013404,0.00557720876712423,-0.0119016906510041,0.000407411687703085
18/08/2014	,0.0101261403117788,-0.0133126119996027,-0.00313165851206064,0.0146891387224654,-0.00936214245698766,0.000407769930846458
19/08/2014	,0.0133961603300706,-0.00304079740008297,7.68559081697562e-05,-0.0057903871959295,-0.00188773107826399,0.000407411687703085
20/08/2014	,0.00673407681581328,-0.00537044554738194,0.00321471768333228,-0.00550978262289865,-0.00774877783939462,0.000407411687703085
21/08/2014	,0.00135928346406976,0.0031328644941086,-0.00055963645751033,-0.00425471489395172,0.00163272723400743,0.000407769930846458
22/08/2014	,-0.00933620060024693,0.00736789037519629,0.000622863080415062,-0.00151195437294967,0.00598236272792134,0.000407769930846458
25/08/2014	,0.0214526194183147,-0.0114520044804726,-0.00038656726707632,0.00749780317699029,-0.0113538141204099,0.000407411687703085
26/08/2014	,0.00124872686767682,0.0015914365882381,0.00437675721097993,-0.000679668138936717,0.000622316244398245,0.000407769930846458
27/08/2014	,0.0176390812108752,-0.0102763734131365,-0.000501392033747421,0.00682408791468873,-0.00333292553935657,0.000407769930846458
28/08/2014	,-0.00960666148961182,0.0127359869814978,-0.00751777877252441,-0.0101247668819091,0.0125612930466531,0.000407053412356806
29/08/2014	,0.015707644760454,-0.00582703238274078,-0.00363698622878572,-0.00140099292873567,-0.00781112423379161,0.000407053412356806
01/09/2014	,-0.00381776686388488,0.0114392462767044,-0.00111574668744447,-0.00633762505523934,0.0128128725846931,0.000407053412356806
02/09/2014	,0.0114295843896796,-0.00850053665216709,0.0104446336847864,-0.00672395660375699,-0.00530952835483517,0.000407411687703085
03/09/2014	,-0.000278504993954881,-0.00595060181206834,0.000205655857287737,-0.00128797365140737,-0.00116178198445915,0.000407411687703085
04/09/2014	,-0.0150855092855704,0.00528827730178918,-5.93692573492574e-05,-0.00493365341237333,0.00439422297859421,0.000407769930846458
05/09/2014	,-0.00398883405368487,0.00335799756397956,-0.00531428071613038,0.000298956876273762,0.000882555147452763,0.000407769930846458
08/09/2014	,-0.0227697592873977,-0.00727966561141037,-0.012633083788455,0.0062922080473476,0.000295034636482151,0.000407769930846458
09/09/2014	,-0.00961455931585471,-0.000507133676227208,-0.00209484852370431,0.00155265547920833,-0.000858622656820181,0.000407769930846458
10/09/2014	,-0.00690800043091642,-0.00602928080483702,-0.00164251803749769,0.00318439264096883,-0.00359442584396061,0.000407769930846458
11/09/2014	,0.00181497292349941,0.00317418495137709,0.00399916423584058,-0.00122234792526553,0.00242753553236717,0.000407769930846458
12/09/2014	,-0.0230976430499061,0.000956372928790009,0.00573273551416326,-0.00538827689698811,0.00491810048198558,0.000407769930846458
15/09/2014	,0.0161820023846812,-0.0212343503692097,-0.00870036868553969,0.00543086226530537,-0.0236553125546798,0.000407769930846458
16/09/2014	,0.0184885479357125,-0.0222287755151982,-0.00580107319424952,0.00978899319611922,-0.0214725927786553,0.000407411687703085
17/09/2014	,-0.000589114842406551,0.0029806587796029,-0.00141444286313289,-0.00985413814455666,-0.000172336327379644,0.000407769930846458
18/09/2014	,-0.0105870485973074,-0.00107990747855595,0.00435649748702167,-0.00847397388700145,0.00497394890237205,0.000407769930846458
19/09/2014	,-0.00882630756631827,0.00501510164177603,-0.00234335495319523,-0.0106813164478124,0.00231803366595171,0.000407411687703085
22/09/2014	,-0.0163850612485388,-0.0119850286616476,-0.0106320578863871,0.00580510388341,-0.00362255754870471,0.00040812814179314
23/09/2014	,-0.0056098294427023,-0.0057451561339955,-0.00482849469549545,7.50150113489152e-05,-0.00512938572392521,0.000407411687703085
24/09/2014	,0.0051609518870735,-0.00301552573494281,-0.0122770938158295,0.0084355300778535,-0.00124735956917008,0.000407769930846458
25/09/2014	,-0.0143656519919601,0.000431754639265383,0.00774131546930399,-0.00333119996513174,0.0054174297253723,0.000408486320548684
26/09/2014	,0.0184621129962081,-0.00704551351611297,-0.00602730777473939,0.0100111361200404,-0.00907067892196419,0.00040812814179314
29/09/2014	,-0.0415507363696786,-0.000335191847911458,-0.0156668900057222,-0.00129358500561195,0.00966374187578687,0.000408486320548684
30/09/2014	,-0.00964685185571916,0.00352591731259235,-0.0113773470245105,0.00297943562556297,0.00173410274005925,0.000408486320548684
01/10/2014	,-0.0243615754626895,-0.0152061071760016,-0.00650356423039102,0.0102452312732516,-0.00425253602340694,0.000408486320548684
02/10/2014	,0.0114624589081294,-0.00706063821590657,-0.00453720878919407,0.00230377840160855,-0.00131007377547806,0.000407769930846458
03/10/2014	,0.0184442430154387,-0.00875172159108186,-0.00582136675651523,0.00476271547159749,-0.00960369875901098,0.000407769930846458
06/10/2014	,0.0431156547213819,-0.0134899055623926,-0.00143666703011813,0.0123078308824264,-0.0242886560150508,0.00040812814179314
07/10/2014	,0.00486887711506991,0.00574120897949557,0.00438878021531828,0.00140416377017693,0.000688584758028917,0.00040812814179314
08/10/2014	,-0.007420378863277,-0.0024288959710541,-0.00587152173260149,0.00700926593139169,0.000999341325889143,0.000408486320548684
09/10/2014	,0.00258505596154998,-0.00408136802156251,-0.0140986329534163,0.00218075539716478,-0.00484556859158009,0.000408486320548684
10/10/2014	,-0.0322613293726823,0.00802188807513243,-0.00737004766039302,-0.00505853697760837,0.0128169147800836,0.000408486320548684
13/10/2014	,0.0436081776893983,-0.00949945036247252,0.0140624957218303,0.00198874072402134,-0.0197417493735994,0.000409202581510115
14/10/2014	,5.31329764154589e-05,-0.0109236127145934,-0.00176505971353953,0.00180982265136155,-0.00727095035338505,0.000408844467119085
15/10/2014	,-0.0304724915725981,0.00322566153057578,0.0025588052540608,-0.00450206759264388,0.00587551083078864,0.000409202581510115
16/10/2014	,-0.0300473833048257,0.00238825248176771,-0.0108962021012184,0.00536437169142833,0.0120949166403554,0.000409918713776491
17/10/2014	,0.0234035333588733,-0.00499761981857343,0.000148690526794341,0.018594242299187,-0.0178272314011794,0.000410276731663828
20/10/2014	,-0.0237952195145042,-0.00604598988867721,-0.00927330441786972,-0.00010234362579806,-0.000401757504881108,0.000409918713776491
21/10/2014	,-0.0331997386847984,-0.00338569681805945,-0.0113730917530498,-0.0021741774316795,0.00666260420432768,0.000410992670975219
22/10/2014	,-0.00182279656709078,-0.00436218712259463,0.00106360959801163,-0.000828971178793426,-0.00296092435324781,0.000410634717394887
23/10/2014	,-0.0321764034594415,-0.00866434015552674,0.00825714157066427,-0.00269109567918436,0.0018992993944767,0.000410992670975219
24/10/2014	,0.0229094269936519,0.00461714399464971,0.00462608797914236,-0.00866012339591517,-0.00487296356359607,0.000409918713776491
27/10/2014	,-0.0252030420740279,-0.00839016902854361,-0.0325307554377612,0.00911198068249664,-0.00302014020352277,0.000408844467119085
28/10/2014	,0.0340037045424324,0.00727623351682627,-0.00315480054063044,0.00994846529528847,-0.00679573374556156,0.000409202581510115
29/10/2014	,-0.0197016557381376,0.00518043005080632,-0.00871719270102766,-0.00169015288325699,0.0134311548491333,0.000409202581510115
30/10/2014	,0.022001364943318,-0.00490581730659533,-0.0112513541686974,0.00850971805706393,-0.00820604540601567,0.000417072968415644
31/10/2014	,0.042717058928562,-0.0132702532930041,0.0207431709862294,-0.00147395439141934,-0.0221521451280323,0.000417072968415644
03/11/2014	,-0.0103753218663683,0.00110534593594628,-0.00443361522172081,-0.00126108848366285,0.00323453015697553,0.000418144999876136
04/11/2014	,0.00634001452326538,-0.00391063844752312,0.00888923921776173,-0.00140572623526814,-0.00116277053390006,0.000418859527360427
05/11/2014	,-0.0132528789053201,-0.000195469765812221,-0.0144295410202668,0.00266044186278274,0.00341735750498004,0.000419216743072992
06/11/2014	,-0.0187219743812228,-0.000677019371788479,-0.0054861311995504,0.00473010629908288,0.00720980800302322,0.000419931078467384
07/11/2014	,0.0107086408445786,-0.00913910875250303,0.0013625591217275,0.00742134382504033,-0.00719277945294546,0.0004206452858595
10/11/2014	,-0.00833796176957053,0.00413562537055394,0.00172793869948353,0.00900967289100992,-0.00053151024299703,0.000421359365295304
11/11/2014	,-0.0057761231462108,-0.00192477943091705,-0.0048470474737028,0.000312887366610683,-0.00364752357185103,0.000422430244631178
12/11/2014	,0.0095466458698202,0.00627790299307098,0.0128435516561423,0.00146389241033352,-0.00196044618021458,0.000422787140481384
13/11/2014	,-0.0208225095246346,0.00464503120000476,0.000335816819715,-0.0101450617454327,0.0108718422052371,0.000423857636326908
14/11/2014	,-0.00406004435609571,-0.0116951174071351,-0.00450396614179965,0.00488428522398322,-0.0121620526691752,0.000423857636326908
17/11/2014	,-0.00862636276885234,-0.00470552666557257,0.00224120034036186,0.0124464532472953,-0.00710264720074255,0.000424927844735246
