"Date",	"Rm_minus_Rf","SMB","HML","WML","IML","Risk_Free"
21/05/2010	,0.0307070967122353,0.00223615301886834,-0.00565276601664758,0.0202931733554253,-0.00253767184170956,0.000368168868961405
24/05/2010	,-0.00517533414982291,-0.0042482885004246,-0.000380167924310269,-0.00316852672865977,-0.00137785011955519,0.000369254133590013
25/05/2010	,-0.0133618085431338,0.00560245552278633,0.000128705367489079,-0.00299411207072841,0.000286893036270981,0.000369254133590013
26/05/2010	,0.0124341380200638,-0.0117891818655122,0.00710619529138918,0.000705035410563652,0.00905253605364382,0.000370339102780504
27/05/2010	,0.0288888854848324,0.00470711556451132,0.000969422908463,0.0330277376179148,0.00716545686909154,0.00037214672867325
28/05/2010	,-0.00178008229036415,0.01219489764917,-0.00249233710170265,0.0016510178036241,0.00965522042117463,0.000372508155491724
31/05/2010	,0.0207205414698675,-0.00335745754160063,0.00163832722419154,-0.00369125655062992,0.000198313499561741,0.000373230910816424
01/06/2010	,-0.0190373206427319,0.00794340839429684,0.00222459843120163,0.00421382190531669,0.00387216066888223,0.000374314798111453
02/06/2010	,0.0178672079688571,-0.00310142330217256,0.00266681142777623,0.00281688309767871,8.82896856335622e-05,0.000376481688800556
04/06/2010	,-0.0163282269590861,0.0131677126518257,-0.00161628697539111,-0.00804529415874856,0.00594072657439008,0.000377564692515486
07/06/2010	,-0.00731076705575287,0.00197603503810319,-0.00160233625089123,-0.0155099870183021,0.00653972582763394,0.000380090557325241
08/06/2010	,0.00728872603112436,-0.000915725230843489,0.00553234000853346,0.0085423286671721,-0.006760718997141,0.000381893766914221
09/06/2010	,-0.00402467452486522,0.00313538765843342,-0.0015634682435318,-0.00455073423835903,0.00931454493005191,0.000383696161040836
10/06/2010	,0.0198630289209211,-0.00449927641050098,-0.00497936024529846,0.00779753698272573,-0.00529433415643933,0.000385857958622671
11/06/2010	,0.00544629186195205,0.00366240462000127,-0.00202647340162369,-0.00135580916968484,-0.0053921233088239,0.000385857958622671
14/06/2010	,-0.0031668337632503,-0.00440416325812897,-0.00336271336956931,-0.00137903387632103,-0.00160676600795306,0.000386218144247996
15/06/2010	,0.0116333780141196,0.00261371630732317,-0.00147028330818736,0.0160041894549264,-0.0026975917060037,0.000387298505861278
16/06/2010	,0.00514136338690116,0.00118274183194522,0.00314942886915369,0.00428136436021809,-0.00944891431352476,0.000387298505861278
17/06/2010	,-0.0052594044454106,0.00258750572873518,-0.000734427882853515,0.00156128546212222,0.00104259676455297,0.000387658561331161
18/06/2010	,-0.000700265350635781,-0.00090357467873663,2.96101400925381e-05,-0.00387670908261573,0.00394211329408529,0.000387658561331161
21/06/2010	,0.00785368909398142,0.00273306562531311,0.00320637249817069,0.00169752631629714,-0.000798505084922255,0.000388018584277061
22/06/2010	,-0.00161984657369486,-0.00392005550812261,-0.000116686615508128,0.00165967162932771,-0.00123528899304872,0.000388378574704751
23/06/2010	,0.00186298581164906,-0.00825427284392666,0.00669258377492358,-0.00134146189579513,-0.00107948888008838,0.000389098458029258
24/06/2010	,-0.0206360738987633,0.0086168020383374,0.0112752528281928,0.00120837560829707,0.00298418229647156,0.000389098458029258
25/06/2010	,0.0122204423830765,-0.00457842401855892,-0.00144926286387667,0.00326656217540167,-0.000175446049350261,0.000389458350937621
28/06/2010	,-0.00840341798930116,0.00682275339924328,-0.00707792379456649,0.00849596402307005,0.00209658993010244,0.000390178039276323
29/06/2010	,-0.0316989402410094,0.00596570577357821,0.000432051417109322,-0.00983454514691269,0.00679072284527762,0.000390897597683626
30/06/2010	,-0.0159865948695365,0.0187060734206174,-0.000899675172570319,0.00381225884777003,0.0201700453143518,0.000390897597683626
01/07/2010	,0.00954233521987882,-0.0123024222605333,-0.00336953905332594,0.00685249639487655,-0.00475393124260113,0.000391617026206159
02/07/2010	,0.00460801995469464,0.00851538708037472,-0.00508995825253092,0.00720606037409216,0.00868164990431642,0.000390897597683626
05/07/2010	,-0.0102845128429276,0.0130893744136933,-0.000857321371873581,-0.00431687769341659,0.00625488075800966,0.00039305549378521
06/07/2010	,0.0178473682277072,-0.017706619909416,-0.0126949970822023,-0.00070062305009334,-0.0125115629172207,0.000394852848494498
07/07/2010	,0.0184212892516044,-0.00488716976211709,-0.00143174624510668,0.00778085153923316,-0.012448134786164,0.000395571563490682
08/07/2010	,0.00284950884466598,0.00178248279352431,0.00504038233285679,0.00137115663236343,0.00326603096248788,0.000397008604790861
12/07/2010	,-0.0079672800058062,-0.00220442973998807,-0.000499553347525631,0.00509659028192639,-0.000970837597687919,0.00039880417810001
13/07/2010	,0.0098439360679292,-0.00244347211160553,-0.0100703871095891,0.000210795366405371,-0.00253502259257509,0.000400240054550638
14/07/2010	,-0.00436101968584472,0.00619788030736683,-0.00161762070716767,0.0115551140096425,-0.000754984629447286,0.000400957798838641
15/07/2010	,-0.00125788615457772,0.00106065894679927,0.0001643679629711,0.00467241768212524,0.00435979281856166,0.000402034172980459
16/07/2010	,-0.0155147490153112,0.0126237083903737,-0.00334806154895306,-0.00328597248531278,0.0104094308008313,0.000401675413897573
19/07/2010	,0.013848289696095,-0.0094036343840991,-0.00456374167434474,0.00459800989354122,-0.00752457147839202,0.000402392899773618
20/07/2010	,0.0167436045492194,-0.0095081921641443,0.0056533111412623,-0.00237323389199906,-0.0124018549622321,0.000402034172980459
21/07/2010	,-0.00139905376283904,0.000409725346732611,0.00367760814031234,0.00154755658944276,0.00160806940500556,0.00040311025651385
22/07/2010	,0.0189186245179548,-0.00406423279955317,0.000989655020114468,0.0100325925524113,-0.00338863711302049,0.000401316622518966
23/07/2010	,0.00520124014192403,0.0021368052823154,-0.000136568626008348,0.00241538859765372,-0.00288471198992594,0.000401316622518966
26/07/2010	,0.00111526788016023,-0.00846422853131569,0.00632667563272839,-0.00358978522710706,0.00234314541432321,0.000401316622518966
27/07/2010	,0.00130226576136999,-0.00992328071825991,-0.00841533028851976,0.00550910090214891,-0.00317443522993481,0.000401316622518966
28/07/2010	,0.00595270254330019,0.000460426282171154,0.0043687777823988,0.000912162934774244,-0.00635564515800185,0.000401316622518966
29/07/2010	,0.000285020320916829,0.0115332863762254,-0.00875151128396216,0.00324361280599645,-0.00605462645197761,0.000400957798838641
30/07/2010	,0.00630846345275783,0.00205137789001411,-0.00371540051461715,0.00405603638051677,0.000195519540683755,0.000400957798838641
02/08/2010	,0.0125561382297225,-0.00595680322044757,0.00658044746267618,-0.00414454772714178,-0.000629127105251802,0.000400957798838641
03/08/2010	,-0.00735115292391095,0.00375092428861606,-0.00555066563367093,-0.00370197863225178,0.00551492449986993,0.000401675413897573
04/08/2010	,0.00189765288205288,0.000855358692985887,4.39777688996407e-05,0.00658699218989431,0.00674913740657148,0.000402034172980459
